"Rank","Player","REC_REC","REC_TGT","REC_YDS","REC_Y/R","REC_LG","REC_20+","REC_TD","RUSH_ATT","RUSH_YDS","RUSH_TD","FL","G","FPTS","FPTS/G","ROST"
"185","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","2.9","0.5","0.7%"
"186","Trishton Jackson (MIN)","2","4","9","4.5","7","0","0","0","0","0","0","6","2.9","0.5","0.0%"
"187","Steven Sims Jr. (HOU)","3","3","25","8.3","23","1","0","1","1","0","0","3","2.6","0.9","0.0%"
"188","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.0%"
"189","Gunner Olszewski (NYG)","1","1","0","0.0","0","0","0","0","0","0","2","12","2.0","0.2","0.0%"
"190","Zach Pascal (ARI)","4","15","19","4.8","9","0","0","0","0","0","0","14","1.9","0.1","0.0%"
"191","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","1.9","0.4","0.1%"
"192","Miles Boykin (NYG)","3","4","17","5.7","6","0","0","0","0","0","0","16","1.7","0.1","0.0%"
"193","Laquon Treadwell (IND)","1","3","16","16.0","16","0","0","0","0","0","0","4","1.6","0.4","0.0%"
"194","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","6","1.5","0.3","0.0%"
"195","Willie Snead IV (MIA)","2","3","14","7.0","9","0","0","0","0","0","0","4","1.4","0.4","0.0%"
"196","Malik Taylor (NYJ)","2","4","13","6.5","7","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"197","Collin Johnson (CHI)","1","1","11","11.0","11","0","0","0","0","0","0","3","1.1","0.4","0.1%"
"198","Cody Thompson (TB)","1","1","10","10.0","10","0","0","0","0","0","0","6","1.0","0.2","0.0%"
"199","Austin Trammell (JAC)","4","7","29","7.3","14","0","0","0","0","0","1","15","0.9","0.1","0.0%"
"200","Mason Kinsey (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.0%"
"201","Dee Eskridge (SEA)","0","1","0","0","0","0","0","2","5","0","0","4","0.5","0.1","0.1%"
"202","Colton Dowell (TEN)","1","2","3","3.0","3","0","0","0","0","0","0","9","0.3","0.0","0.0%"
"203","Kwamie Lassiter II (CIN)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"204","Antoine Green (FA)","1","2","2","2.0","2","0","0","0","0","0","0","9","0.2","0.0","0.1%"
"205","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"206","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Freddie Swain (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Tyrie Cleveland (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Denzel Mims (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Tarik Black (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Marquez Callaway (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"213","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Stanley Morgan Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"217","David Sills (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"218","Davion Davis (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
